id,question,answer
"1","Triết học ra đời ở cả phương Đông và phương Tây gần như cùng một thời gian, khoảng thế kỷ nào? A. X đến VIII trước Công nguyên. B. VIII đến VI trước Công nguyên. C. VI đến IV trước Công nguyên. D. IV đến II trước Công nguyên.","B"
"2","Ở Trung Quốc, thuật ngữ triết học có gốc ngôn ngữ là chữ gì? A. Đạo B. Lý C. Triết D. Tuệ","C"
"3","Theo C. Mác, vào cuối thế kỷ XVIII ở Pháp, triết học duy nhất triệt để, trung thành với tất cả mọi học thuyết của khoa học tự nhiên, thù địch với mê tín là chủ nghĩa nào? A. Chủ nghĩa duy tâm khách quan. B. Chủ nghĩa duy vật. C. Chủ nghĩa duy tâm chủ quan. D. Chủ nghĩa duy vật biện chứng.","B"
"4","Vấn đề cơ bản lớn nhất của triết học là mối quan hệ giữa đối tượng nào? A. Mối quan hệ giữa vật chất và không gian. B. Mối quan hệ giữa ý thức và xã hội. C. Mối quan hệ giữa tư duy và tồn tại. D. Mối quan hệ giữa lý trí và cảm tính.","C"
"5","Việc giải quyết mặt thứ nhất vấn đề cơ bản của triết học đã chia các nhà triết học thành hai trường phái lớn nào? A. Biện chứng và Siêu hình. B. Duy tâm và Duy khoa học. C. Duy vật và Duy tâm. D. Duy danh và Duy thực.","C"
"6","Trường phái nào cho rằng vật chất, giới tự nhiên là cái có trước và quyết định ý thức của con người? A. Chủ nghĩa duy tâm. B. Chủ nghĩa duy danh. C. Chủ nghĩa duy vật. D. Chủ nghĩa duy lý.","C"
"7","Cho đến nay, Chủ nghĩa duy vật đã được thể hiện dưới mấy hình thức cơ bản? A. Hai (Duy vật chất phác và Duy vật biện chứng). B. Ba (Duy vật chất phác, Duy vật siêu hình, Duy vật biện chứng). C. Bốn (Duy vật chất phác, Duy vật siêu hình, Duy vật lịch sử, Duy vật biện chứng). D. Một (Duy vật biện chứng).","B"
"8","Hình thức chủ nghĩa duy vật do C.Mác và Ph.Ăngghen xây dựng, sau đó được V.I.Lênin phát triển là gì? A. Chủ nghĩa duy vật chất phác. B. Chủ nghĩa duy vật siêu hình. C. Chủ nghĩa duy vật biện chứng. D. Chủ nghĩa duy vật lịch sử.","C"
"9","Phép biện chứng duy vật là học thuyết về mối liên hệ phổ biến và về sự phát triển dưới hình thức nào? A. Phổ biến nhất. B. Hoàn bị nhất. C. Duy nhất. D. Khoa học nhất.","B"
"10","Phép biện chứng được Ph.Ăngghen định nghĩa là môn khoa học về những quy luật phổ biến của sự vận động và sự phát triển của những đối tượng nào? A. Tự nhiên, xã hội loài người và tư duy. B. Vật chất và ý thức. C. Giai cấp và dân tộc. D. Kinh tế và chính trị.","A"
"11","Mục đích trực tiếp của việc học tập, nghiên cứu triết học Mác - Lênin là bồi dưỡng thế giới quan duy vật, rèn luyện tư duy biện chứng, đồng thời đề phòng và chống lại điều gì? A. Chủ nghĩa duy tâm. B. Chủ nghĩa giáo điều. C. Chủ nghĩa chủ quan, tránh phương pháp tư duy siêu hình. D. Chủ nghĩa xét lại.","C"
"12","Nội dung cơ bản đạo đức của Nho gia được tóm tắt trong hai phạm trù nào? A. Nhân - Nghĩa. B. Giới - Định - Tuệ. C. Luân - Thường. D. Trung - Hiếu.","C"
"13","Trong ""Ngũ thường"" của Nho giáo, đứng đầu là gì? A. Lễ. B. Trí. C. Nhân nghĩa. D. Tín.","C"
"14","Người sáng lập Đạo gia là ai? A. Khổng Tử. B. Mạnh Tử. C. Lão Tử. D. Trang Tử.","C"
"15","Theo triết học Lão - Trang, ""Đạo"" là sự khái quát cao nhất có hai mặt ý nghĩa, mặt thứ nhất là gì? A. Quy luật biến hóa tự thân của vạn vật. B. Bản nguyên của vũ trụ. C. Nguyên lý hữu hình là mẹ của vạn vật. D. Chúa tể của vạn vật.","B"
"16","Phật giáo coi trọng việc khai mở cái gì để thực hiện giải thoát? A. Giới. B. Định. C. Tuệ (Trí tuệ). D. Bát chính đạo.","C"
"17","Theo Phật giáo, số mệnh con người là do đâu gây nên? A. Mệnh trời. B. Vua chúa. C. Nghiệp và Kiếp. D. Số đông.","C"
"18","Phái duy danh trong triết học thời Trung cổ cho rằng các sự vật nào là những cái có thực? A. Cái phổ biến. B. Cái chung. C. Cái riêng lẻ, cá biệt. D. Cái ý niệm.","C"
"19","Ai là những đại biểu lớn của triết học cổ điển Đức, đóng vai trò quan trọng trong sự phát triển triết học vào cuối thế kỷ XVIII và nửa đầu thế kỷ XIX? A. Cantơ, Hêghen, Phoiơbắc. B. Platôn, Arixtốt, Hêghen. C. Phoiơbắc, Cantơ, Đêcáctơ. D. Hêghen, Cantơ, Spinoza.","A"
"20","Hệ thống triết học của Hêghen (duy tâm) gồm ba bộ phận chính là gì? A. Vật chất, Tinh thần, Xã hội. B. Lôgíc học, Triết học về tự nhiên, Triết học về tinh thần. C. Duy tâm, Duy vật, Biện chứng. D. Nhận thức, Thực tiễn, Tư duy.","B"
"21","Theo V.I.Lênin, thực chất của hệ thống triết học Hêghen là gì? A. Lấy cái giới tự nhiên làm điểm xuất phát. B. Lấy cái tâm lý làm điểm xuất phát, từ cái tâm lý suy ra giới tự nhiên. C. Lấy triết học về tự nhiên làm trung tâm. D. Lấy tư duy làm điểm xuất phát.","B"
"22","Chủ nghĩa duy tâm trong lịch sử tư tưởng Việt Nam dù là khách quan hay chủ quan, đều mang nặng màu sắc nào? A. Chính trị. B. Khoa học. C. Tôn giáo. D. Đạo đức.","C"
