STT,Câu hỏi,Câu trả lời,EduRAG,ChatGPT,QWEN,DeepSeek,Claude
1,"Khái niệm ""Tư tưởng Hồ Chí Minh"" được Đảng Cộng sản Việt Nam nêu ra tại Đại hội nào? A. Đại hội IX (2001). B. Đại hội X (2006). C. Đại hội XI (2011). D. Đại hội VII (1991).",C,C,D,D,D,D
2,"Theo khái niệm của Đại hội XI, Tư tưởng Hồ Chí Minh là kết quả của sự vận dụng và phát triển sáng tạo học thuyết nào vào điều kiện cụ thể của nước ta? A. Chủ nghĩa Tôn Trung Sơn. B. Chủ nghĩa Mác - Lênin. C. Tinh hoa văn hóa nhân loại. D. Chủ nghĩa yêu nước.",B,B,B,B,B,B
3,Khái niệm Tư tưởng Hồ Chí Minh khẳng định Tư tưởng Hồ Chí Minh là tài sản tinh thần vô cùng to lớn và quý giá của ai? A. Đảng Cộng sản Việt Nam. B. Dân tộc Việt Nam. C. Đảng và dân tộc ta. D. Giai cấp công nhân.,C,C,C,C,C,C
4,"Đại hội nào của Đảng đã khẳng định: ""Đảng lấy chủ nghĩa Mác - Lênin và tư tưởng Hồ Chí Minh làm nền tảng tư tưởng, kim chỉ nam cho hành động""? A. Đại hội IV (1976). B. Đại hội V (1982). C. Đại hội VII (1991). D. Đại hội IX (2001).",C,C,C,C,C,C
5,"Đối tượng nghiên cứu của môn học Tư tưởng Hồ Chí Minh là gì? A. Toàn bộ cuộc đời hoạt động của Người. B. Hệ thống quan điểm toàn diện và sâu sắc về những vấn đề cơ bản của cách mạng Việt Nam. C. Những bài nói, bài viết của Người. D. Quá trình hệ thống quan điểm của Hồ Chí Minh vận động trong thực tiễn.",B,B,B,B,B,B
6,Nguyên tắc nào được coi là rất cơ bản trong phương pháp luận nghiên cứu tư tưởng Hồ Chí Minh? A. Thống nhất tính đảng và tính khoa học. B. Quan điểm lịch sử - cụ thể. C. Quan điểm toàn diện và hệ thống. D. Tất cả các phương án trên.,D,D,D,D,D,D
7,"Theo Hồ Chí Minh, con người sẽ mắc phải căn bệnh nào nếu không áp dụng lý luận vào thực tế? A. Giáo điều. B. Lý luận suông. C. Chủ nghĩa cá nhân. D. Quan liêu.",B,B,A,A,A,B
8,"Theo Hồ Chí Minh, thước đo duy nhất để nhận rõ hiệu quả tư duy và hành động của người cách mạng Việt Nam là gì? A. Tư duy và hành động đó có đưa lại quyền lợi chính đáng cho nhân dân hay không. B. Sự thống nhất giữa lời nói và việc làm. C. Việc tuân thủ các nguyên tắc của Đảng. D. Việc phê phán chủ nghĩa cá nhân.",A,A,A,A,A,A
9,"Hạt nhân cốt lõi trong hệ thống Tư tưởng Hồ Chí Minh là tư tưởng nào? A. Tư tưởng độc lập, tự do, dân chủ và chủ nghĩa xã hội. B. Tư tưởng về Đảng Cộng sản. C. Tư tưởng về Nhà nước của nhân dân. D. Tư tưởng về Đại đoàn kết.",A,A,A,A,A,A
10,Tư tưởng Hồ Chí Minh hình thành và phát triển qua mấy thời kỳ cơ bản? A. Hai. B. Ba. C. Bốn. D. Năm.,D,D,C,C,C,B
11,"Nhân tố nào được coi là nền tảng tư tưởng, điểm xuất phát và động lực thúc đẩy Hồ Chí Minh ra đi tìm đường cứu nước? A. Tinh hoa văn hóa nhân loại. B. Chủ nghĩa Mác-Lênin. C. Chủ nghĩa yêu nước. D. Truyền thống nhân ái.",C,C,C,C,C,C
12,Hồ Chí Minh tìm thấy con đường cứu nước theo cách mạng vô sản qua nghiên cứu tác phẩm nào của Lênin? A. Tuyên ngôn của Đảng Cộng sản. B. Làm gì?. C. Sơ thảo lần thứ nhất những luận cương về vấn đề dân tộc và vấn đề thuộc địa. D. Nhà nước và Cách mạng.,C,C,C,C,C,C
13,Hồ Chí Minh trở thành người cộng sản Việt Nam đầu tiên tại Đại hội nào? A. Đại hội V Quốc tế Cộng sản. B. Đại hội VI Quốc tế Cộng sản. C. Đại hội ở thành phố Tua (Đảng Xã hội Pháp). D. Hội nghị thành lập Đảng Cộng sản Việt Nam.,C,C,C,C,C,C
14,Khẩu hiệu nổi tiếng nào của Đại Cách mạng Pháp năm 1789 đã được Hồ Chí Minh quan tâm từ sớm? A. Công bằng - Bình đẳng - Bác ái. B. Tự do - Dân chủ - Hạnh phúc. C. Tự do - Bình đẳng - Bác ái. D. Độc lập - Tự do - Thống nhất.,C,C,C,C,C,C
15,"Trong Nho giáo, Hồ Chí Minh chú ý kế thừa và đổi mới tư tưởng nào để quản lý xã hội? A. Nhân trị, Đức trị. B. Pháp trị. C. Lễ trị. D. Vô vi.",A,A,A,A,A,A
16,"Trong triết lý của Đạo Phật, Hồ Chí Minh chú ý kế thừa, phát triển những tư tưởng tích cực nào? A. Từ bi, vị tha, yêu thương con người. B. Khuyến khích làm việc thiện, chống lại điều ác. C. Đề cao quyền bình đẳng của con người và chân lý. D. Tất cả các phương án trên.",D,D,D,D,D,D
17,"Tác phẩm nào của Hồ Chí Minh là sự chuẩn bị mọi mặt về chính trị, tư tưởng, tổ chức cho sự ra đời của Đảng Cộng sản Việt Nam? A. Bản án chế độ thực dân Pháp. B. Tuyên ngôn Độc lập. C. Đường cách mệnh. D. Cương lĩnh chính trị đầu tiên.",C,C,C,C,C,C
18,"Trong Cương lĩnh chính trị đầu tiên (1930), Hồ Chí Minh xác định mục tiêu chiến lược của cách mạng Việt Nam là gì? A. Làm cách mạng xã hội chủ nghĩa. B. Làm tư sản dân quyền cách mạng và thổ địa cách mạng để đi tới xã hội cộng sản. C. Giải phóng dân tộc. D. Đánh đổ đế quốc Pháp.",B,B,B,B,B,B
