"STT",question,answer
"1","Đảng Cộng sản Việt Nam được Chủ tịch Hồ Chí Minh sáng lập vào ngày, tháng, năm nào? A. 2-9-1945. B. 3-2-1930. C. 19-5-1890. D. 12-1946.","B"
"2","Đảng Cộng sản Việt Nam lấy nền tảng tư tưởng, kim chỉ nam cho hành động là gì? A. Chủ nghĩa Mác-Lênin. B. Tư tưởng Hồ Chí Minh. C. Chủ nghĩa Mác-Lênin và Tư tưởng Hồ Chí Minh. D. Truyền thống dân tộc.","C"
"3","Đối tượng nghiên cứu của khoa học Lịch sử Đảng bao gồm những nội dung nào? A. Các sự kiện lịch sử Đảng, Cương lĩnh, đường lối, chủ trương, chính sách lớn. B. Quá trình chỉ đạo, tổ chức thực tiễn trong tiến trình cách mạng. C. Hệ thống tổ chức Đảng, công tác xây dựng Đảng qua các thời kỳ lịch sử. D. Tất cả các phương án trên.","D"
"4","Cương lĩnh chính trị đầu tiên của Đảng Cộng sản Việt Nam được đề ra vào thời gian nào? A. Tháng 10-1930. B. Tháng 2-1930. C. Tháng 2-1951. D. Tháng 6-1991.","B"
"5","Quy luật ra đời và phát triển của Đảng Cộng sản Việt Nam là sự kết hợp của những yếu tố nào? A. Chủ nghĩa Mác-Lênin và phong trào công nhân. B. Chủ nghĩa Mác-Lênin, tư tưởng Hồ Chí Minh và phong trào yêu nước. C. Chủ nghĩa Mác-Lênin với phong trào công nhân và phong trào yêu nước Việt Nam. D. Phong trào công nhân và phong trào yêu nước.","C"
"6","Chức năng nào của khoa học lịch sử Đảng cần phải quán triệt để nhận thức đầy đủ, có hệ thống những tri thức lịch sử lãnh đạo, đấu tranh và cầm quyền của Đảng? A. Chức năng giáo dục. B. Chức năng dự báo. C. Chức năng phê phán. D. Chức năng nhận thức.","D"
"7","Trong tác phẩm Lịch sử nước ta (1942), Hồ Chí Minh đã dự báo năm nào Việt Nam độc lập? A. 1944. B. 1945. C. 1954. D. 1975.","B"
"8","Phương pháp nghiên cứu, học tập Lịch sử Đảng Cộng sản Việt Nam cần dựa trên phương pháp luận khoa học nào? A. Chủ nghĩa duy vật biện chứng và chủ nghĩa duy vật lịch sử. B. Chủ nghĩa duy tâm khách quan. C. Chủ nghĩa duy vật siêu hình. D. Chủ nghĩa thực dụng.","A"
"9","Hồ Chí Minh đã truyền bá chủ nghĩa Mác-Lênin vào phong trào công nhân và phong trào yêu nước Việt Nam nhằm chuẩn bị những điều kiện gì cho sự thành lập Đảng? A. Tư tưởng, lý luận, chính trị, tổ chức, cán bộ. B. Kinh tế, xã hội. C. Quân sự, quốc phòng. D. Văn hóa, đạo đức.","A"
"10","Ba cuộc cách mạng đồng thời được tiến hành trong đường lối chung của cách mạng xã hội chủ nghĩa giai đoạn 1975-1981 là: cách mạng về quan hệ sản xuất, cách mạng khoa học-kỹ thuật, và cuộc cách mạng nào nữa? A. Cách mạng về chính trị. B. Cách mạng về tư tưởng và văn hóa. C. Cách mạng về kinh tế. D. Cách mạng về tổ chức.","B"
"11","Trong ba cuộc cách mạng nêu trên (1975-1981), cuộc cách mạng nào được xác định là then chốt? A. Cách mạng về quan hệ sản xuất. B. Cách mạng khoa học-kỹ thuật. C. Cách mạng tư tưởng và văn hóa. D. Cách mạng văn hóa.","B"
"12","Đại hội nào của Đảng đã nghiêm túc kiểm điểm, chỉ rõ những sai lầm, khuyết điểm của Đảng trong thời kỳ 1975-1986? A. Đại hội IV (1976). B. Đại hội V (1982). C. Đại hội VI (1986). D. Đại hội VII (1991).","C"
"13","Khuynh hướng tư tưởng chủ yếu của những sai lầm, khuyết điểm trong lĩnh vực kinh tế thời kỳ 1975-1986 là gì? A. Bệnh quan liêu, xa dân. B. Chủ quan duy ý chí, lối suy nghĩ và hành động giản đơn, nóng vội. C. Chủ nghĩa cá nhân. D. Phá hoại từ bên ngoài.","B"
